"n","x","y","id"
"Goodwood Heights",174.8973,-36.9942,549
"The Gardens (Auckland)",174.913,-37.0016,550
"Te Puru",175.0032,-36.8963,551
"Maraetai",175.038,-36.8877,552
"Clevedon",175.0459,-37.0148,553
"Dannemora South",174.9097,-36.9521,554
"Clover Park North",174.8931,-36.9796,555
"Clover Park South",174.8901,-36.9856,556
"Rongomai West",174.8893,-36.9739,557
"Mission Heights South",174.9322,-36.965,558
"Sunkist Bay",174.9978,-36.8826,559
"Puni",174.8474,-37.2137,560
"Hilltop (Auckland)",174.9077,-36.9857,561
"Hillpark South",174.9004,-37.0172,562
"Mission Heights North",174.9309,-36.9582,563
"Burbank",174.868,-37.0214,564
"Homai West",174.878,-37.0189,565
"Leabank",174.8873,-37.0322,566
"Rowandale West",174.8722,-37.0286,567
"Weymouth North",174.8653,-37.0394,568
"Weymouth East",174.8776,-37.0373,569
"Clendon Park North",174.86,-37.0245,570
"Randwick Park East",174.9178,-37.0199,571
"Bombay Hills",175.0023,-37.1754,572
"Alfriston",174.9208,-37.0125,573
"Papakura Kelvin",174.9624,-37.0593,574
"Karaka Creek",174.7644,-37.1344,575
"Papakura North",174.9479,-37.0574,576
"Rosehill",174.9381,-37.0807,577
"Patumahoe",174.8351,-37.1769,578
"Clarks Beach",174.7076,-37.1384,579
"Weymouth South",174.863,-37.0468,580
"Takanini South",174.9389,-37.0416,581
"Wattle Downs East",174.8929,-37.0472,582
"Wattle Downs North",174.8949,-37.0387,583
"Takanini West",174.9211,-37.0407,584
"Wattle Downs West",174.8752,-37.0513,585
"Conifer Grove West",174.9129,-37.0487,586
"Papakura Massey Park",174.9548,-37.0663,587
"Awhitu",174.6322,-37.1499,588
"Anselmi Ridge",174.9355,-37.1863,589
"Buckland",174.9192,-37.2273,590
"Ngatea",175.4915,-37.279,591
"Kawakawa Bay-Orere",175.152,-36.9841,592
"Hunua",175.0817,-37.0826,593
"Papakura West",174.9342,-37.0565,594
"Pahurehure",174.9327,-37.0686,595
"Papakura North East",174.9659,-37.0514,596
"Opaheke",174.948,-37.0768,597
"Rosa Birch Park",174.8959,-37.2071,598
"Rooseville Park",174.9131,-37.197,599
"Cloverlea (Auckland)",174.8926,-37.2159,600
"Red Hill",174.9773,-37.0674,601
"Pukekohe West",174.888,-37.201,602
"Ararimu",175.0825,-37.1469,603
"Tuakau Rural",174.9523,-37.2862,604
"Tuakau North",174.9482,-37.2572,605
"Tuakau South",174.9407,-37.2815,606
"Pukekohe Hospital",174.9026,-37.2123,607
"Pokeno Rural",175.0048,-37.2701,608
"Mangatangi",175.1758,-37.155,609
"Coromandel",175.4957,-36.7558,610
"Whitianga South",175.6936,-36.8336,611
"Thames Central",175.5414,-37.1403,612
"Colville",175.4816,-36.6997,613
"Mercury Bay North",175.6118,-36.8437,614
"Whitianga North",175.6737,-36.8214,615
"Mercury Bay South",175.7164,-36.9722,616
"Cooks Beach-Ferry Landing",175.7478,-36.8406,617
"Totora-Kopu",175.5601,-37.1679,618
"Thames North",175.5459,-37.1315,619
"Thames South",175.559,-37.1491,620
