"n","x","y","id"
"East Taieri",170.3519,-45.891,1904
"Fairfield (Dunedin City)",170.4008,-45.9016,1905
"Brighton",170.3743,-45.934,1906
"Caversham",170.482,-45.8968,1907
"Bruce",170.0866,-46.0725,1908
"Momona",170.2027,-45.9357,1909
"Halfway Bush",170.4665,-45.8571,1910
"Wakari",170.4862,-45.8584,1911
"Mornington",170.484,-45.8856,1912
"Pine Hill-Dalmore",170.5139,-45.8483,1913
"North East Valley Chingford",170.5297,-45.8468,1914
"Roseneath-Sawyers Bay",170.5913,-45.8281,1915
"Opoho",170.5419,-45.8552,1916
"Ravensbourne-St Leonards",170.5653,-45.8525,1917
"Bush Road",170.3383,-45.8731,1918
"Kenmure",170.4686,-45.8868,1919
"Saddle Hill-Chain Hills",170.3827,-45.9129,1920
"St Kilda South",170.5029,-45.9048,1921
"Bathgate Park",170.5,-45.8989,1922
"Campus West",170.5079,-45.8629,1923
"Abbotsford",170.4226,-45.8982,1924
"St Kilda North",170.5133,-45.9035,1925
"Andersons Bay",170.5368,-45.8983,1926
"Helensburgh",170.4834,-45.8494,1927
"Maryhill",170.4757,-45.8919,1928
"Fernhill",170.4932,-45.8846,1929
"Kew (Dunedin City)",170.4807,-45.9032,1930
"Musselburgh",170.5181,-45.8973,1931
"Belleknowes",170.4814,-45.8748,1932
"Normanby",170.5449,-45.8418,1933
"Waverley",170.5335,-45.8846,1934
"Concord",170.4603,-45.9047,1935
"Tainui",170.5278,-45.9035,1936
"Macandrew Bay-Company Bay",170.5941,-45.8717,1937
"Broad Bay-Portobello",170.6383,-45.8446,1938
"Otago Peninsula",170.6461,-45.8716,1939
"Clinton",169.363,-46.233,1940
"Balclutha South",169.7226,-46.2445,1941
"Balclutha North",169.7529,-46.2325,1942
"Waikaka",168.9804,-45.966,1943
"Gore West",168.9236,-46.1063,1944
"Gore Central",168.9452,-46.0999,1945
"Gore Main",168.9375,-46.1043,1946
"Gore South",168.9205,-46.1239,1947
"Invercargill Central",168.3285,-46.4149,1948
"Clutha Valley",169.6156,-46.1467,1949
"Milton",169.9675,-46.1217,1950
"Catlins",169.4652,-46.4596,1951
"West Otago",169.2129,-45.8354,1952
"Tuapeka",169.7151,-45.8828,1953
"Benhar-Stirling",169.778,-46.2372,1954
"Kaitangata-Matau",169.8572,-46.2646,1955
"Te Anau",167.723,-45.4135,1956
"Fiordland",167.3619,-45.3517,1957
"Whitestone",167.7541,-45.4417,1958
"Inland water Lake Te Anau",167.7307,-45.2108,1959
"Mararoa",167.9814,-45.2662,1960
"Riversdale-Piano Flat",169.0316,-45.4865,1961
"Lumsden-Balfour",168.61,-45.7492,1962
"Oreti River",168.3179,-46.0027,1963
"Winton",168.3238,-46.1449,1964
"Wyndham-Catlins",168.9919,-46.4728,1965
"Gladstone (Invercargill City)",168.3533,-46.3921,1966
"Georgetown",168.369,-46.4193,1967
"Ohai-Nightcaps",168.0261,-45.8909,1968
"Otautau",168.0535,-46.1925,1969
"Riverton",168.0126,-46.3701,1970
"Longwood Forest",167.673,-46.0171,1971
"Hedgehope",168.5658,-46.129,1972
"Wallacetown",168.2555,-46.3358,1973
"Edendale-Woodlands",168.6701,-46.3334,1974
"Gore North",168.9387,-46.0916,1975
"Waianiwa",168.3303,-46.2454,1976
"Prestonville-Grasmere",168.3417,-46.3802,1977
"Kew (Invercargill City)",168.3538,-46.4334,1978
"Rosedale",168.368,-46.3897,1979
"Newfield",168.3891,-46.4176,1980
"Windsor",168.3757,-46.3972,1981
"West Plains-Makarewa",168.279,-46.4816,1982
"Avenal",168.3527,-46.4007,1983
"Donovan Park",168.3566,-46.3753,1984
"Woodend-Greenhills",168.3747,-46.5212,1985
"Myross Bush",168.4042,-46.3714,1986
"Kennington-Tisbury",168.422,-46.4213,1987
"Awarua Plains",168.6041,-46.4827,1988
"Mataura",168.8733,-46.1874,1989
"Waimumu-Kaiwera",169.0731,-46.2079,1990
"East Gore",168.9614,-46.0896,1991
"Kingswell",168.371,-46.441,1992
"Otatara",168.2879,-46.4352,1993
"Hargest",168.3801,-46.3899,1994
"Glengarry",168.3881,-46.4018,1995
"Turnbull Thompson Park",168.3855,-46.4103,1996
"Bluff",168.3322,-46.6072,1997
"Richmond (Invercargill City)",168.3692,-46.4072,1998
"Crinan",168.3564,-46.4214,1999
"Strathern",168.3684,-46.4279,2000
"Moulson",168.3768,-46.4345,2001
"Clifton",168.3651,-46.4507,2002
"Aurora",168.3822,-46.4299,2003
"Elizabeth Park",168.387,-46.425,2004
"Inlet Bluff Harbour",168.3565,-46.5745,2005
"Herekino-Takahue",173.3724,-35.1896,2006
"Peria",173.4481,-35.1241,2007
"Hokianga North",173.3384,-35.3685,2008
"Pataua",174.4279,-35.697,2009
"Barrier Islands",175.4232,-36.2011,2010
"Wainui-Waiwera",174.5634,-36.5851,2011
"Hatfields Beach",174.6894,-36.57,2012
"Silverdale South (Auckland)",174.6916,-36.628,2013
"Okura Bush",174.7099,-36.6671,2014
"Army Bay",174.8233,-36.6051,2015
"Waitakere Ranges North",174.5,-36.8988,2016
"Oteha West",174.7169,-36.7221,2017
"Browns Bay South West",174.7299,-36.7218,2018
"Schnapper Rock",174.6869,-36.7562,2019
"Inlet Waitemata Harbour",174.705,-36.8382,2020
"Greenhithe South",174.6943,-36.7716,2021
"Birdwood West",174.5867,-36.8506,2022
"Totara Vale South",174.7257,-36.7658,2023
"Campbells Bay",174.7563,-36.7495,2024
"Ranui South West",174.5939,-36.8715,2025
"Hillcrest West (Auckland)",174.7283,-36.7979,2026
"Summerland South",174.6053,-36.8817,2027
"Waitakere Ranges South",174.5351,-36.9893,2028
"Northcote Tuff Crater",174.7509,-36.8075,2029
"McLaren Park",174.621,-36.8989,2030
"Avondale West (Auckland)",174.6846,-36.8947,2031
"New Lynn North",174.6719,-36.9017,2032
"New Windsor North",174.7125,-36.9024,2033
"Owairaka East",174.7215,-36.8948,2034
"Sandringham West",174.7308,-36.8925,2035
"Sandringham East",174.7383,-36.8931,2036
"Blockhouse Bay North East",174.7082,-36.9148,2037
"Three Kings West",174.7523,-36.9031,2038
"Epsom South",174.7662,-36.9044,2039
"Hillsborough South (Auckland)",174.7556,-36.9261,2040
"Remuera Waiatarua",174.8274,-36.8829,2041
"Onehunga North",174.7867,-36.9123,2042
"Oranga",174.8003,-36.9121,2043
"Mangere North",174.795,-36.9592,2044
"Otahuhu East",174.8627,-36.9327,2045
"Burswood",174.8974,-36.9225,2046
"Massey Road South",174.8223,-36.9719,2047
"Huntington Park",174.907,-36.9339,2048
"Redcastle",174.9053,-36.9431,2049
"Botany East",174.9226,-36.9322,2050
"East Tamaki Heights",174.9225,-36.9418,2051
"Ormiston East",174.9311,-36.982,2052
"Tuscany Heights",174.9551,-36.9792,2053
"Totara Heights",174.9002,-37.0016,2054
"Homai East",174.8855,-37.0133,2055
"Clendon Park West",174.8593,-37.0324,2056
"Hillpark North",174.8979,-37.0106,2057
"Randwick Park West",174.9136,-37.0262,2058
"Conifer Grove East",174.9154,-37.0439,2059
"Papakura East",174.9792,-37.0585,2060
"Cape Hill",174.9107,-37.188,2061
"Whatawhata West",175.1233,-37.7613,2062
"Rotokauri-Waiwhakareke",175.2114,-37.7554,2063
"Huntington",175.2837,-37.7437,2064
"Western Heights (Hamilton City)",175.2266,-37.7853,2065
"Nawton West",175.2336,-37.785,2066
"Temple View",175.2191,-37.8226,2067
"Fitzroy",175.3009,-37.8179,2068
"Te Pahu",175.1277,-37.9251,2069
"Pirongia Forest",174.9593,-38.0779,2070
"Parkdale",175.8736,-38.2092,2071
"Matakana Island",176.0571,-37.563,2072
"Kaimai",176.021,-37.8859,2073
"Pukehina Beach",176.5176,-37.7861,2074
"Bethlehem South",176.1068,-37.7253,2075
"Ohauiti",176.1616,-37.7493,2076
"Pacific View",176.2549,-37.6904,2077
"Arahiwi",176.0477,-38.113,2078
"Hamurana",176.251,-38.0303,2079
"Mokorua Bush",177.0024,-37.9613,2080
"Pirimai West",176.8787,-39.5133,2081
"Pirimai East",176.8824,-39.5183,2082
"Mount Messenger",174.6243,-38.9232,2083
"Mount Taylor",175.555,-40.2014,2084
"Pioneer West",175.5685,-40.3729,2085
"Hokowhitu South",175.6417,-40.3662,2086
"Kimberley",175.2985,-40.713,2087
"Peka Peka",175.0748,-40.8373,2088
"Otaihanga",175.0279,-40.8829,2089
"Pukerua Bay",174.8735,-41.0442,2090
"Camborne",174.8745,-41.089,2091
"Akatarawa",175.1334,-41.0166,2092
"Riverstone Terraces",175.0383,-41.1121,2093
"Woburn",174.9077,-41.2199,2094
"Naenae South",174.9505,-41.2095,2095
"Pencarrow",175.027,-41.2771,2096
"Ngaio North",174.7716,-41.2464,2097
"Broadmeadows",174.7933,-41.2351,2098
"Woodridge",174.8346,-41.2162,2099
"Brooklyn North",174.7559,-41.3043,2100
"Maupuia",174.8245,-41.2971,2101
"Southgate",174.7827,-41.3341,2102
"Kopuaranga",175.6379,-40.7982,2103
"Islands Tasman District",173.1524,-41.2738,2104
"Fairose",173.1809,-41.3534,2105
"Aniseed Valley",173.2089,-41.3864,2106
"Toi Toi",173.2617,-41.2854,2107
"Maitlands",173.243,-41.3088,2108
"Karamea",172.2645,-41.2923,2109
"Barrytown",171.4334,-42.3102,2110
"Oxford Estate",172.5766,-43.3096,2111
"Pegasus Bay",172.6901,-43.355,2112
"Silverstream (Waimakariri District)",172.6372,-43.3788,2113
"Brooklands-Spencerville",172.6864,-43.396,2114
"Regents Park",172.6026,-43.4706,2115
"Avonhead North",172.5573,-43.5065,2116
"Broomfield",172.5301,-43.5251,2117
"Avonhead West",172.5504,-43.5134,2118
"Wigram South",172.5547,-43.5564,2119
"Wigram East",172.5619,-43.5533,2120
"Broken Run",172.5606,-43.5595,2121
"Waimairi Beach",172.7195,-43.4812,2122
"Kennedys Bush",172.5839,-43.5967,2123
"Woolston West",172.6761,-43.5516,2124
"Hillsborough (Christchurch City)",172.6701,-43.5604,2125
"Governors Bay",172.6398,-43.6325,2126
"Banks Peninsula South",172.7263,-43.7808,2127
"Motukarara",172.5269,-43.7191,2128
"Ben McLeod",170.8909,-43.6847,2129
"Hadlow",171.1468,-44.3728,2130
"Kingston",168.5131,-45.1962,2131
"Glenleith",170.4996,-45.8432,2132
"Brockville",170.4616,-45.8669,2133
"Waldronville",170.4255,-45.9198,2134
"Calton Hill",170.4686,-45.8993,2135
"Corstorphine",170.4722,-45.9083,2136
"Shiel Hill",170.543,-45.8881,2137
"Grove Bush",168.4781,-46.3007,2138
"Stewart Island",167.8586,-46.9404,2139
